Sum of median,Specie,,,,,,,,,,,,
Date,co,dew,humidity,no2,o3,pm10,pm25,pressure,so2,temperature,wind-gust,wind-speed,Grand Total
19/07/2019,4.6,13,76,11,8.9,12,30,1011.6,1.7,18,6.9,3,1196.7
20/07/2019,3.8,15,71.2,7,11,9,22,1007.8,0.6,19.9,8.2,3.6,1179.1
21/07/2019,4.3,12.5,62.1,7.5,9.5,10,25,1020.6,1.1,20.6,5.6,3,1181.8
22/07/2019,3.7,15.5,68,8.5,10,12,38,1021.7,1.3,22.3,3.8,1.7,1206.5
23/07/2019,3.8,17,59.7,15,21,21,50,1018,1.1,25.5,8,3.4,1243.5
24/07/2019,4.6,17,53,18.7,14.3,23,55,1012,1.7,26.2,3.5,1.5,1230.5
25/07/2019,4.6,17.5,49.4,22.8,21,28,59,1010.7,1.5,28.7,5.1,2.3,1250.6
26/07/2019,1.9,17,66,15.1,9.3,20,50,1010.5,0.8,23.3,3,1.1,1218
27/07/2019,3.8,15.5,85.2,10.7,9.8,11,30,1006.8,2.1,18.1,4.1,1.4,1198.5
28/07/2019,2,13,70,7,11.5,10,25,1005.7,1.1,18.6,9.6,4,1177.5
29/07/2019,2.4,12,56.3,11.5,15.5,12,29,1008.8,1.3,21.5,5.8,3.2,1179.3
30/07/2019,3.7,14.5,75.1,7.8,16.1,14,32,1005.5,1.6,18.6,11.4,5.2,1205.5
31/07/2019,3.7,12.5,65.2,8.9,12.2,10,25,1012,1.8,19.1,9.5,4.8,1184.7
01/08/2019,3.7,13.5,59.7,12.1,15,13,35,1017,1,20.8,4.7,2.1,1197.6
02/08/2019,3,14,66.5,9.6,19.3,16,42,1018.8,1,19.8,4.6,2,1216.6
03/08/2019,3.7,14.5,67.7,11.2,14.7,14,35,1019,1,20.5,3.6,1.9,1206.8
04/08/2019,4.3,15,67.6,10.4,15.5,15,40,1013.4,1,20.9,4.7,2.4,1210.2
05/08/2019,4,14,65,8.1,14.7,13,30,1009.7,1,19.7,4.5,1.6,1185.3
06/08/2019,3.7,13.5,75.5,7.1,15.1,13,29,1004.3,1.1,18.8,8.8,3.7,1193.6
07/08/2019,3.7,13.5,75.7,8.6,13.3,12,27,1004.6,1.4,18.4,7.7,3,1188.9
08/08/2019,3.7,14.5,64.3,10,11.8,11,25,1009.5,1.3,21,4.9,2,1179
09/08/2019,3.2,16.5,79.2,7.5,13.8,14,29,1000.7,1.4,20,9,3.3,1197.6
10/08/2019,2.8,13.5,71.5,4.3,20.5,17,38,1003.6,1,18.1,12.7,6.1,1209.1
11/08/2019,2.8,12,63.3,5.6,17.7,14,30,1010.9,1,18.3,6.2,2.1,1183.9
12/08/2019,3.7,12,82.2,15.6,8.7,11,30,1014.1,1.2,15.1,2.3,1.1,1197
13/08/2019,5.3,9,58.5,12.3,12.8,10,25,1017.1,1,17.6,4.8,1.8,1175.2
14/08/2019,3.9,14,84.4,12,8.9,10,25,1013.4,1.1,16.6,4.3,1.7,1195.3
15/08/2019,3.7,11.5,66.2,9.2,10.2,10,23,1011.4,1,18.3,8.1,2.7,1175.3
16/08/2019,3.8,13.5,80.7,10.3,7.1,12,26,1011.7,1.1,16.8,7.8,2.6,1193.4
17/08/2019,4.2,13,72.4,6.5,10.5,13,29,1004.6,1,17.7,4.5,1.8,1178.2
18/08/2019,4,12.5,79.6,6.8,14.1,11,26,1004.8,0.7,16.2,3.5,1.7,1180.9
19/08/2019,3.9,11,69.5,9.4,13,12,27,1013.8,1.2,16.6,4,1.5,1182.9
20/08/2019,4.6,8,59.5,14,14,14,32,1022.6,0.9,16.2,4,2,1191.8
21/08/2019,5.3,10,60.3,16.4,12.2,16,41,1026.7,1,17.5,6.1,2.6,1215.1
22/08/2019,4.7,11.5,65.4,12.9,16.9,15,39,1024.7,1.1,19.1,6.1,2.1,1218.5
23/08/2019,4.6,15,66,18.7,9.7,17,43,1024.4,1.1,20.2,6,2.2,1227.9
24/08/2019,5.4,14,63.6,26.3,15.8,29,68,1019.1,0.6,21.1,5.5,2.1,1270.5
25/08/2019,5.5,15.5,56.3,23.4,17.6,33,77,1018,0.6,23.5,8.4,3,1281.8
26/08/2019,6.4,16,52.5,25.8,19.3,28,73,1017.6,0.7,24.6,7.7,2.5,1274.1
27/08/2019,5.5,16,51.6,28.1,17.2,29,71,1014.2,0.8,25.2,6.8,2.4,1267.8
28/08/2019,4,14.5,58.2,10.9,15.1,12,33,1014,1.9,22.5,7.6,3.1,1196.8
29/08/2019,3.9,10.5,61,9.3,15.2,10,25,1020,1.3,18.7,5.7,2.5,1183.1
30/08/2019,3.8,12.5,62,11,14.2,13,30,1020.5,1.2,19.1,7.7,2.8,1197.8
31/08/2019,3.7,13,62.6,11.2,10.8,12,30,1012.1,1.1,18.5,8.2,4.3,1187.5
01/09/2019,3.7,6.5,52.8,9.1,13.1,8,22,1017.6,1.6,17,9.4,4.1,1164.9
02/09/2019,4.6,8,57,12.9,10.4,12,28,1023.5,1.5,17.9,10.5,4.6,1190.9
03/09/2019,3.8,11,61.6,9.5,13.8,11,23,1022.7,1.6,18.8,10.1,4.3,1191.2
04/09/2019,3.9,10,63.7,7.7,14.1,10,21,1015.1,2.4,18,11.2,3.8,1180.9
05/09/2019,8.2,6.5,58,11.1,15.6,10,25,1026,2.9,15,10.5,3.8,1192.6
06/09/2019,10.9,10,74.1,15,7.6,13,33,1021.5,2.6,15,9,4.1,1215.8
07/09/2019,8.5,8,62,8.6,13.1,10,25,1023,2.8,15,8.7,3.7,1188.4
08/09/2019,9.1,5.5,60.1,9.2,15.8,11,26,1023.7,2.7,13,5.9,2.5,1184.5
09/09/2019,9.1,10.5,78.4,16,11,14,38,1013.2,2.6,14.4,6.2,2.3,1215.7
10/09/2019,9,11,66.4,19.5,6,15,43,1018.9,2.3,16.3,3.6,1.5,1212.5
11/09/2019,8.2,15,76,10.2,9.8,11,25,1019.8,2.5,18,8.5,3.5,1207.5
12/09/2019,8,15,74.5,9.9,8.1,11,27,1027,2.1,18.7,9.2,4.6,1215.1
13/09/2019,7.3,10.5,63.5,11.3,12.5,12,28,1034.5,1,17.2,8,2.9,1208.7
14/09/2019,8.2,9.5,64.6,18.8,10.3,15,38,1032.7,0.9,15.7,3.1,1.4,1218.2
15/09/2019,6.4,12.5,64.8,17.4,8.1,15,42,1023.3,1.2,18.7,3.2,2,1214.6
16/09/2019,6.4,14,79.9,13.9,4.8,14,43,1021.7,1,17.6,4,1.5,1221.8
17/09/2019,7.4,7,57.3,11.5,14.5,12,31,1024.9,0.9,15,6.5,2.5,1190.5
18/09/2019,3.7,6,59.5,16.5,12.7,17,34,1029.2,0.8,13.3,4.5,1.8,1199
19/09/2019,2.2,9,63.2,20.8,10.8,18,42,1030.4,1.4,14.7,4.4,1.8,1218.7
20/09/2019,2.8,10,67.2,20.6,11,22,46,1024.1,1.9,15.5,8.8,4.4,1234.3
21/09/2019,2.9,9,59.5,21.1,9.8,24,50,1013.2,1.8,17.4,8.4,3.8,1220.9
22/09/2019,1.1,14.5,77.3,15.5,10.5,17,38,1005,1.4,18.3,5.1,2,1205.7
23/09/2019,2.2,12,79.5,9.1,14.2,10,22,1010.7,1.5,16.1,8.8,4,1190.1
24/09/2019,1.9,14.5,90,11,10.4,10,23,1001.5,1.4,16.6,9.3,3.6,1193.2
25/09/2019,1.6,14,82.8,10.2,11.6,9,21,1000.8,1.3,16.8,8.3,3.1,1180.5
26/09/2019,1.9,12.5,80,10.1,16.1,11,29,1003.1,1.1,16.8,9,3.5,1194.1
27/09/2019,1.9,12,83.8,9.6,16.4,13,30,1004.4,0.9,15,8.9,3.8,1199.7
28/09/2019,1.9,11,73,7,15.6,10,23,1008.6,1.4,15.2,10.3,4.5,1181.5
29/09/2019,0.2,15,84.1,5.9,17.3,7,18,997.2,1.1,16,13.5,6.5,1181.8
30/09/2019,2.8,12,77.5,12.7,7.8,10,25,1010.4,1.4,15.5,6.2,2.6,1183.9
01/10/2019,1.1,14,79.6,10.6,12.2,12,30,999.9,1.1,16.7,7.1,2.3,1186.6
02/10/2019,1.9,4,67,14.1,10.9,10,25,1016,1.1,11.1,18,4.2,1183.3
03/10/2019,4.6,6,67,18,3.9,15,46,1015.5,2.1,12.3,7,2.8,1200.2
04/10/2019,2.8,11,78.4,16.3,7.2,19,46,1004.9,1.6,13.9,9.5,3.8,1214.4
05/10/2019,2.8,10,77,14.3,7.7,12,36,1013.9,1.2,13.5,5,2.3,1195.7
06/10/2019,0.7,10.5,80,8.4,14.2,9,22,1010.4,1.1,13.5,10.8,5.8,1186.4
Grand Total,389.2,1184.5,6563.1,1205.5,1298.1,1353,3311,99511.9,135.8,1802.2,676.3,282.9,117713.5
